"","nodesize","ntree","maxit","mtry","cutoff","RMSE_train","TPR_train","TNR_train","PPV_train","NPV_train","ACC_train","BALACC_train","F1_train","F2_train","RMSE_tune","TPR_tune","TNR_tune","PPV_tune","NPV_tune","ACC_tune","BALACC_tune","F1_tune","F2_tune"
"1",1,10,10,1,0.2,0.0541195476575121,0.892282958199357,1,1,0.90190336749634,0.945880452342488,0.946141479099678,0.943075615972812,0.948421862971517,0.509554140127389,0.465753424657534,0.818181818181818,0.971428571428571,0.103448275862069,0.490445859872611,0.641967621419676,0.62962962962963,0.183673469387755
"2",1,10,10,1,0.25,0.0282714054927302,0.943729903536977,1,1,0.946236559139785,0.97172859450727,0.971864951768489,0.971050454921423,0.972375690607735,0.528662420382166,0.472602739726027,0.454545454545455,0.92,0.0609756097560976,0.471337579617834,0.463574097135741,0.624434389140271,0.10752688172043
"3",1,10,10,1,0.3,0.0169628432956381,0.966237942122186,1,1,0.967032967032967,0.983037156704362,0.983118971061093,0.982829108748978,0.983240223463687,0.312101910828025,0.705479452054795,0.454545454545455,0.944954128440367,0.104166666666667,0.687898089171974,0.580012453300125,0.807843137254902,0.169491525423729
"4",1,10,10,1,0.35,0.0105008077544426,0.979099678456592,1,1,0.97933227344992,0.989499192245557,0.989549839228296,0.989439480097482,0.989558232931727,0.248407643312102,0.767123287671233,0.545454545454545,0.957264957264957,0.15,0.751592356687898,0.656288916562889,0.851711026615969,0.235294117647059
"5",1,10,10,1,0.4,0.00323101777059774,0.993569131832797,1,1,0.993548387096774,0.996768982229402,0.996784565916399,0.996774193548387,0.996763754045307,0.191082802547771,0.835616438356164,0.454545454545455,0.953125,0.172413793103448,0.808917197452229,0.645080946450809,0.89051094890511,0.25
"6",1,10,10,1,0.45,0.00121163166397415,0.997588424437299,1,1,0.997570850202429,0.998788368336026,0.99879421221865,0.998792756539235,0.99878394811512,0.191082802547771,0.863013698630137,0.0909090909090909,0.926470588235294,0.0476190476190476,0.808917197452229,0.476961394769614,0.893617021276596,0.0625
"7",1,10,10,1,0.5,0.0024232633279483,0.998392282958199,0.996753246753247,0.996789727126806,0.998373983739837,0.997576736672052,0.997572764855723,0.997590361445783,0.997562956945573,0.114649681528662,0.945205479452055,0.0909090909090909,0.932432432432432,0.111111111111111,0.885350318471338,0.518057285180573,0.938775510204082,0.1
"8",1,10,10,4,0.2,0.0407915993537964,0.918810289389068,1,1,0.924231057764441,0.959208400646204,0.959405144694534,0.957687473816506,0.960623781676413,0.484076433121019,0.513698630136986,0.545454545454545,0.9375,0.0779220779220779,0.515923566878981,0.529576587795766,0.663716814159292,0.136363636363636
"9",1,10,10,4,0.25,0.018578352180937,0.963022508038585,1,1,0.964006259780908,0.981421647819063,0.981511254019293,0.981162981162981,0.981673306772908,0.394904458598726,0.60958904109589,0.545454545454545,0.946808510638298,0.0952380952380952,0.605095541401274,0.577521793275218,0.741666666666667,0.162162162162162
"10",1,10,10,4,0.3,0.0100969305331179,0.979903536977492,1,1,0.980111376292761,0.989903069466882,0.989951768488746,0.989849776695087,0.989955805544395,0.280254777070064,0.732876712328767,0.545454545454545,0.955357142857143,0.133333333333333,0.719745222929936,0.639165628891656,0.829457364341085,0.214285714285714
"11",1,10,10,4,0.35,0.00282714054927302,0.994372990353698,1,1,0.994350282485876,0.997172859450727,0.997186495176849,0.997178557033454,0.997167138810198,0.21656050955414,0.821917808219178,0.272727272727273,0.9375,0.103448275862069,0.78343949044586,0.547322540473225,0.875912408759124,0.15
"12",1,10,10,4,0.4,0.0024232633279483,0.995176848874598,1,1,0.995153473344103,0.997576736672052,0.997588424437299,0.997582594681708,0.997570850202429,0.171974522292994,0.883561643835616,0.0909090909090909,0.928057553956835,0.0555555555555556,0.828025477707006,0.487235367372354,0.905263157894737,0.0689655172413793
"13",1,10,10,4,0.45,0,1,1,1,1,1,1,1,1,0.152866242038217,0.89041095890411,0.272727272727273,0.942028985507246,0.157894736842105,0.847133757961783,0.581569115815691,0.915492957746479,0.2
"14",1,10,10,4,0.5,0.000403877221324717,1,0.999188311688312,0.999196787148594,1,0.999596122778675,0.999594155844156,0.999598232221776,0.999593991067803,0.101910828025478,0.958904109589041,0.0909090909090909,0.933333333333333,0.142857142857143,0.898089171974522,0.524906600249066,0.945945945945946,0.111111111111111
"15",1,10,10,10,0.2,0.0452342487883683,0.909967845659164,1,1,0.916666666666667,0.954765751211632,0.954983922829582,0.952861952861953,0.956521739130435,0.420382165605096,0.575342465753425,0.636363636363636,0.954545454545455,0.101449275362319,0.579617834394904,0.60585305105853,0.717948717948718,0.175
"16",1,10,10,10,0.25,0.0133279483037157,0.973472668810289,1,1,0.973913043478261,0.986672051696284,0.986736334405145,0.986558044806517,0.986784140969163,0.375796178343949,0.63013698630137,0.545454545454545,0.948453608247423,0.1,0.624203821656051,0.587795765877958,0.757201646090535,0.169014084507042
"17",1,10,10,10,0.3,0.0109046849757674,0.978295819935691,1,1,0.978554408260524,0.989095315024233,0.989147909967846,0.989028850060951,0.989160979526295,0.273885350318471,0.73972602739726,0.545454545454545,0.955752212389381,0.136363636363636,0.726114649681529,0.642590286425903,0.833976833976834,0.218181818181818
"18",1,10,10,10,0.35,0.00323101777059774,0.993569131832797,1,1,0.993548387096774,0.996768982229402,0.996784565916399,0.996774193548387,0.996763754045307,0.165605095541401,0.856164383561644,0.545454545454545,0.961538461538462,0.222222222222222,0.834394904458599,0.700809464508095,0.905797101449275,0.315789473684211
