"","vars","Estimate","Std..Error","z.value","Pr...z.."
"2","V1",-0.992035218602162,0.228314897156456,-4.34503061761387,1.39256238454415e-05
"3","V2",-0.786870098101155,0.201354573787307,-3.90788291172533,9.3108406636271e-05
"4","V3",-0.759736541646916,0.244917929520334,-3.1020045904146,0.00192214977739106
"5","V10",-0.580139492454797,0.221504123832969,-2.61909115918883,0.00881643839569271
"6","V11",-0.634414122934925,0.208016545004174,-3.04982530558901,0.00228974510500698
"7","V15",-2.71260508610853,0.33739370012449,-8.03988066495505,8.99260048751857e-16
"8","V20",1.86958733330437,0.642526781623694,2.90974226565287,0.0036172691705165
"9","V24",0.641390037866689,0.230029220095891,2.78829810229899,0.00529857627062051
"10","V26",3.68513402557932,0.508278265723169,7.25022940010268,4.16066336881327e-13
"11","V27",-2.90224502370866,0.466603780392084,-6.21993465477268,4.97361973419372e-10
"12","V29",-1.63312482425007,0.334904882068408,-4.87638404720685,1.08048152280757e-06
"13","V33",0.554553849108243,0.185730078007297,2.98580528828752,0.00282832667413482
"14","V41",-0.889412991040382,0.21708756290719,-4.09702416448715,4.18495231810862e-05
"15","V45",-1.00369676889933,0.314407229324353,-3.19234634348653,0.00141122006808487
"16","V52",0.898967619327923,0.23419626293031,3.83852247717305,0.0001237768854187
"17","V54",-3.95223034984999,0.476125256889795,-8.30082061948833,1.03394706739072e-16
"18","V57",6.10850702217489,0.620267018629387,9.84818930994097,6.9789908044751e-23
"19","V58",-0.619558450399896,0.253035572680006,-2.44850336194983,0.0143451091240685
"20","V61",2.34911777141068,0.46237849633235,5.08050826334746,3.76426359433675e-07
"21","V63",-3.21107469566022,0.659811920906954,-4.86665153191896,1.13504902478733e-06
"22","V67",5.59023261668628,0.799023659258652,6.99632927249362,2.62755608424471e-12
"23","V68",2.11038918163466,0.267071150767106,7.90197359607358,2.74521579270233e-15
"24","V71",-2.3889042463969,0.729053925341279,-3.276718173184,0.00105021139558674
"25","V72",1.03694748750413,0.266718307878523,3.88780018796614,0.000101156844197713
"26","V76",1.00690236726999,0.269162062952728,3.7408777307775,0.000183378720549096
"27","V78",0.965815871579902,0.209011884296473,4.62086581741897,3.82141883317785e-06
"28","V81",-0.788979969449896,0.236475293082488,-3.33641607613817,0.000848660471282394
"29","V85",-0.634973123025393,0.234347666411315,-2.70953465314615,0.00673776663292924
"30","V87",0.895154094550398,0.236867325067422,3.77913709413319,0.000157372767736333
"31","V88",1.59584353437655,0.4609232221182,3.46227627031409,0.000535627031341154
"32","V89",-0.465342838987871,0.222031086631644,-2.09584543339145,0.0360959045408852
"33","V93",-0.784364468450205,0.238370927045277,-3.2905206946702,0.00100002145737559
"34","V95",-1.36898134520795,0.238476133946327,-5.74053815178027,9.43761553209367e-09
"35","V101",1.15607670607638,0.299551376963487,3.8593603467805,0.000113684201149318
"36","V104",0.671927038521416,0.272275099779514,2.46782404658206,0.01359371206422
"37","V109",-1.46680610227311,0.241789384150392,-6.06646196410659,1.30758674967121e-09
"38","V115",0.832904747414847,0.149721664575322,5.56302088797461,2.65144139027506e-08
"39","V116",1.64066117075684,0.409806354147115,4.00350349415974,6.24112789299034e-05
"40","V118",-0.797645436441125,0.23452127163831,-3.40116455479267,0.00067099423284273
"41","V120",-0.492675276691485,0.194211275592804,-2.53680058064425,0.0111870659722969
"42","V121",-0.911719090971504,0.250404929365908,-3.6409790066043,0.000271603284929679
"43","V122",2.0396022860883,0.668779315724325,3.04973888715338,0.00229040401012124
"44","V123",-2.89043601094825,0.559447149891414,-5.16659350487221,2.3839896366059e-07
"45","V125",-2.28392864285175,0.601905293999,-3.79449834653813,0.00014794226773405
"46","V126",1.10323997978047,0.375461855833956,2.93835435647654,0.00329959648563539
"47","V130",2.17827579098647,0.377296613546902,5.77337753050275,7.76980853377038e-09
"48","V131",1.43472671776856,0.474442014855063,3.02402964502808,0.00249431995669437
"49","V132",0.633665086790313,0.214629559525088,2.95236633850634,0.00315348561124065
"50","V133",-4.62716514534403,0.446565630304034,-10.3616687701508,3.70441833989457e-25
"51","V134",1.09440104328499,0.445718225316968,2.45536525347762,0.014074150543149
"52","V135",-1.11503513364885,0.292947192532337,-3.80626666536756,0.000141080267505873
"53","V138",3.87864027272753,0.725052120527249,5.34946407701977,8.82150683219036e-08
"54","V140",1.14166807117255,0.288109515609681,3.96261841180987,7.41322183025317e-05
"55","V144",-1.55512192647841,0.259130297797529,-6.00131262031545,1.95728728699137e-09
"56","V152",-4.75859923362818,0.998669964856104,-4.76493676698671,1.88912883726586e-06
"57","V153",1.69056251342774,0.220259848077373,7.67530954091043,1.65019673766261e-14
"58","V156",-1.36754980594205,0.301818804003884,-4.53102917313413,5.86970313873551e-06
"59","V165",-1.54287803486431,0.311134305244218,-4.95888112901361,7.09003311526435e-07
"60","V176",-2.76188857825339,0.725407177367128,-3.80736318087958,0.000140456400391847
"61","V177",3.93992194628696,0.977097776204886,4.032269893797,5.52406937281776e-05
"62","V183",-7.41579952260179,1.47981059452142,-5.01131668475459,5.40588656539146e-07
"63","V198",1.96787593705266,0.439491654458692,4.47761844187105,7.54803520245452e-06
"64","V202",1.75839482955845,0.573352646940917,3.06686441396973,0.00216316953386675
"65","V206",1.92539043513772,0.294212316391479,6.54422105353262,5.98062804342076e-11
"66","V211",-3.62334958963782,0.712010907842463,-5.08889618084265,3.60153705949751e-07
"67","V212",1.07439102191307,0.174727907261418,6.14893773268643,7.80035918832714e-10
"68","V213",-0.622756538392717,0.273396347295403,-2.27785244592106,0.0227353703655673
"69","V217",9.65747138624848,1.02792846991632,9.39508114512545,5.71737359203697e-21
"70","V220",-2.91279411735117,0.535756531530154,-5.43678694692167,5.42499414276064e-08
"71","V240",1.85631191839162,0.615777918413325,3.01458019666373,0.0025733516841737
"72","V250",-0.99848116700425,0.272071067274995,-3.66992777660933,0.000242619008084484
"73","V251",-16.5879399003507,2.42898249041002,-6.82917228339122,8.54059588954628e-12
"74","V252",-5.73226208339046,1.32521785929311,-4.32552432280692,1.52169476184931e-05
"75","V269",-3.01834665363116,0.788358946382901,-3.82864514632548,0.000128850631918916
"76","V270",1.11791940529458,0.244810159764422,4.56647471808496,4.95994826893777e-06
"77","V272",0.789246271485885,0.294342364935814,2.6813886327848,0.00733173137471568
"78","V273",-3.84687319967259,0.77581913528259,-4.95846650942862,7.10517837512862e-07
"79","V274",1.26675340294696,0.28392764585525,4.46153596326003,8.13742862972464e-06
"80","V281",-2.15666917470311,0.259232546261612,-8.31943830280724,8.83811470416096e-17
"81","V286",1.40542218560915,0.293936847589553,4.7813746290552,1.74100567409853e-06
"82","V287",3.50777872391315,1.06363955242807,3.297901733633,0.000974102181412712
"83","V292",0.551483712182362,0.207052788054564,2.66349329252707,0.00773339536220207
"84","V303",4.21548102445701,0.631367617134934,6.67674570258501,2.44306321065158e-11
"85","V304",-3.48621318481909,0.543366866271854,-6.41594731150737,1.39949846538793e-10
"86","V311",2.85415919501385,0.721945573389339,3.95342710062525,7.70397429477297e-05
"87","V312",-4.09979136546362,0.970891709422851,-4.22270715227422,2.4138536891548e-05
"88","V313",-1.62631394861484,0.324905464142869,-5.0054989161392,5.5717526434633e-07
"89","V318",-1.20537433962918,0.331879164450245,-3.63196750126169,0.00028126855017502
"90","V320",2.62751156139409,0.350378965222422,7.499056228236,6.42789520264211e-14
"91","V322",-0.622460549587452,0.295777375415549,-2.1044900703204,0.0353357198836663
"92","V337",1.32908641444374,0.532240283779594,2.49715486585402,0.0125194268110032
"93","V339",-0.912205383020765,0.444068930515772,-2.05419771646998,0.0399565593407996
"94","V341",-0.838980627377027,0.310685936650037,-2.70041391774379,0.0069253256054505
"95","V349",3.55068178720542,0.736292068871654,4.82238222754014,1.41853786716615e-06
"96","V354",-0.962655271698861,0.226660235405416,-4.24712905630319,2.16527246036814e-05
"97","V355",-9.93369832032772,1.08766409452301,-9.13305713625136,6.65916983506683e-20
"98","V358",3.47273803187832,0.58070517104591,5.98020855509786,2.22852112544946e-09
"99","V361",0.82239169536877,0.336735563018305,2.44224782199219,0.0145961230996973
"100","V364",-2.72268876762868,0.485972657900339,-5.60255545937945,2.11214423887435e-08
"101","V366",0.992531475766641,0.262646664504116,3.77896090034331,0.00015748414717629
"102","V367",-1.80567544633918,0.268201596181456,-6.73253057419363,1.66737335522219e-11
"103","V378",-1.25978596052755,0.630431325191378,-1.99829213776001,0.0456849973923999
"104","V388",0.853201603321284,0.291632578916013,2.92560456205751,0.00343787622785221
"105","V389",5.54773422336758,0.85598789770671,6.48108955539044,9.10625976537814e-11
"106","V390",5.54895468872277,1.33203306088635,4.16577850179668,3.10291861982836e-05
"107","V391",-4.52151902470916,0.926894062063313,-4.87814002675131,1.07090890711189e-06
"108","V392",-0.56948940822593,0.192806193108234,-2.95368835951364,0.00314000919977359
"109","V407",2.441691003634,0.766173584361546,3.18686398679311,0.00143824392112909
"110","V416",-1.43568065529742,0.300185902899166,-4.78263849645091,1.73009104881049e-06
"111","V418",-1.01099228732398,0.252471502857792,-4.00438178519273,6.21798751637981e-05
"112","V420",-1.59893956639326,0.209750319287052,-7.62306141810943,2.47728935012784e-14
"113","V427",-0.970160373263702,0.236480116426004,-4.10250294158355,4.08704657541797e-05
"114","V431",1.34235215169218,0.274434491371745,4.89133907688683,1.00152258460813e-06
"115","V432",0.675739554821007,0.290860852240405,2.32323996033158,0.0201662651807931
"116","V435",1.0521007420958,0.33472702620563,3.14316042544312,0.0016713421249242
"117","V439",-3.8671437243341,0.662197151695628,-5.83986765033926,5.22423074987304e-09
"118","V440",3.39454750478915,0.5766306835429,5.88686589470504,3.935878205822e-09
"119","V446",1.05676684359521,0.259477458140421,4.07267302203692,4.64766503615719e-05
"120","V455",6.13534714514251,1.30560289708127,4.69924443248276,2.61125768433201e-06
"121","V461",1.33602032089928,0.256656875470283,5.20547255338955,1.93503547752699e-07
"122","V468",-1.04428710516743,0.314853516968254,-3.31673952771098,0.000910744815994384
"123","V469",-2.86222423996771,0.298979080623979,-9.57332611363363,1.03520551280869e-21
"124","V474",1.08670295512751,0.445708063631825,2.43814964053505,0.0147626614804292
"125","V481",1.73252998716863,0.366286439122915,4.72998670471455,2.24534541167885e-06
"126","V485",-0.580964804984884,0.213422548810875,-2.72213413353857,0.00648618099351409
"127","V487",-0.603440861939389,0.214630591270049,-2.81153240257414,0.00493061242220405
"128","V489",1.21091951231898,0.286490468548973,4.22673577397561,2.37105814052623e-05
"129","V491",-0.79226433414652,0.217605396418128,-3.64083036168913,0.000271760157029136
"130","V500",-0.616692670275064,0.207081691946955,-2.9780163783529,0.00290120481075344
"131","V501",0.974083593152306,0.220645002469188,4.414709520957,1.01145712368496e-05
"132","V521",-1.63259287061279,0.239554152448382,-6.8151307498816,9.41780712510243e-12
"133","V523",13.5182728398553,2.10158214291002,6.43242658178319,1.25582696034987e-10
"134","V525",3.92930838509811,0.89642748765026,4.38329752180817,1.16896294268782e-05
"135","V544",-0.923138557992737,0.327995019948604,-2.81448955577859,0.00488547651442777
"136","V561",0.532699668187878,0.216781728985024,2.45730888245051,0.0139982270887962
"137","V574",-1.14733439109908,0.276143896113336,-4.15484248338477,3.25511710049293e-05
"138","V583",0.601444389169803,0.224395227525668,2.68029046696639,0.00735583001071606
"139","V585",0.414888989775096,0.202547308184004,2.04835597912854,0.0405251315810835
"140","V589",0.733972541004498,0.230479949436004,3.18453966516639,0.00144984439730273
