"","vars","Estimate","Std..Error","z.value","Pr...z.."
"2","V15",-0.421205750284422,0.155027102160319,-2.71698138206078,0.00658803134998686
"3","V34",0.453041926315086,0.093197497026194,4.86109542392275,1.16737960719963e-06
"4","V46",1.3096131827975,0.314261581004523,4.16727103138532,3.08267896669703e-05
"5","V51",0.640799214137265,0.316667307503099,2.02357237060537,0.0430141702613057
"6","V57",0.646104669532352,0.263691953561033,2.45022519954447,0.014276689208638
"7","V63",-1.17954157462703,0.309360939469048,-3.81283292147827,0.00013738298825652
"8","V66",-0.674009962180293,0.221780404140764,-3.03908708612731,0.00237296248154816
"9","V71",-0.833051112617327,0.400644671750411,-2.07927665424262,0.0375919296303895
"10","V87",0.34789196806295,0.147584426991133,2.35724036170735,0.0184113253317885
"11","V101",0.48303278391882,0.139218552980507,3.46960066440608,0.000521232703247627
"12","V130",0.479642331458715,0.190011315450398,2.52428298978818,0.0115934559622695
"13","V131",0.578021509293354,0.195554538069543,2.95580718810932,0.00311851976183511
"14","V132",0.426938648769556,0.122465267018863,3.48620191800011,0.000489931051949185
"15","V133",-0.765184208935639,0.186878980948872,-4.09454399339317,4.23000092645454e-05
"16","V146",-0.412116787345321,0.153640501885308,-2.68234470916376,0.00731080851626808
"17","V152",-0.414628265662806,0.194022825388051,-2.13700766821398,0.0325973679291219
"18","V154",-0.750987623833284,0.241727669305912,-3.10675077449612,0.00189155795964239
"19","V198",0.680799095002987,0.180584588114732,3.76997340753382,0.000163264942565306
"20","V212",0.280350477470207,0.127912962401305,2.19172843945758,0.0283991209425123
"21","V283",0.583097930268792,0.229237614554074,2.54363984463487,0.0109704133371395
"22","V288",0.509324146710783,0.131537901672791,3.87207139716856,0.000107914329026676
"23","V303",0.367386412078782,0.1532217095516,2.39774385205549,0.0164963965870865
"24","V420",-0.431613817378307,0.140918330831827,-3.06286495752919,0.00219228967912116
"25","V431",0.317829537572478,0.119984766640407,2.648915745488,0.00807504603470901
"26","V446",0.339094662940051,0.146227420179398,2.31895401371395,0.0203975299207707
"27","V456",0.531110231749779,0.171695949697311,3.09331834959468,0.00197931684067955
"28","V469",-0.974258566125229,0.164280439649683,-5.93045993913074,3.02087282702527e-09
"29","V475",0.428876656481597,0.182773741786882,2.3464894480394,0.0189512028125208
"30","V477",-0.365204659427036,0.155166062687435,-2.35363747137608,0.018590732254067
"31","V478",0.562798342933561,0.169312259341167,3.3240259454545,0.000887279407064732
"32","V485",-0.390959408529536,0.130275984568494,-3.00100904878585,0.00269086568585781
"33","V501",0.422990027052655,0.136823350439672,3.09150467148632,0.00199144848791406
"34","V512",0.293322186809359,0.133060280952219,2.20443083924262,0.0274940588336291
"35","V572",-0.299331389694678,0.131148213036358,-2.28239015053674,0.0224663163248093
"36","V584",0.380390407590283,0.127614283960536,2.98078236843704,0.00287513039035129
