"","vars","Estimate","Std..Error","z.value","Pr...z.."
"2","V15",-0.346366984494121,0.133974749647318,-2.58531540761163,0.00972899526262938
"3","V23",-0.234277149741288,0.0967870899058011,-2.42054131361218,0.0154974181895929
"4","V54",-0.512058026736509,0.232175609896854,-2.20547725475555,0.0274206221597848
"5","V57",1.15227285721603,0.263557933315193,4.37199079049543,1.2311872007438e-05
"6","V63",-0.865468039654177,0.226442293894748,-3.82202469674879,0.000132360429871759
"7","V67",0.779737601765402,0.277494253045759,2.80992342438466,0.00495532885410087
"8","V100",0.277178521043982,0.0977232931082641,2.83636083299921,0.00456308600621048
"9","V103",-0.282234712447483,0.121656935046707,-2.31992292374558,0.0203450472426533
"10","V123",-0.584929958233993,0.168764531806465,-3.46595313584478,0.000528355365415825
"11","V130",0.419912095030082,0.170839916730722,2.4579272986415,0.0139741459944141
"12","V133",-0.662151114855029,0.150190342013755,-4.4087463013726,1.03970732041624e-05
"13","V134",0.312294050587715,0.139258918649907,2.24254255034691,0.0249263284833064
"14","V153",0.246035311058887,0.111035814607945,2.21581939059581,0.0267038739160251
"15","V206",0.446123694822005,0.143256786567519,3.11415399934118,0.00184473178160896
"16","V217",1.1369447868874,0.41438948306133,2.74366226306745,0.00607580122902592
"17","V282",-0.399375061475884,0.138069588613718,-2.89256356512532,0.0038211185276795
"18","V303",0.335617430563031,0.131751667409909,2.54734863824417,0.010854492994797
"19","V320",0.29149191632556,0.144965446536972,2.01076824366708,0.0443499418894355
"20","V334",0.585834896659273,0.156255373329402,3.74921440572975,0.00017738938146963
"21","V355",-1.18382944279322,0.42903316730838,-2.75929586101746,0.00579260653191033
"22","V420",-0.269835340960946,0.127388466247282,-2.11820857028886,0.0341574076904784
"23","V425",-0.403001478648129,0.165843976801672,-2.43000370842571,0.0150986683445495
"24","V469",-0.627951650817159,0.130742012195779,-4.8029829147561,1.56319228351442e-06
"25","V483",0.260050295681955,0.123766947458211,2.10112878294715,0.0356296628752067
"26","V512",0.258817649107048,0.12201396707402,2.12121329478646,0.0339038569648529
"27","V542",0.363199915506065,0.12448409425646,2.91764114664968,0.00352689985126526
"28","V588",0.502327165764356,0.151465689642713,3.31644194107113,0.000911715287772536
"29","V590",-0.345522546456468,0.158394148704906,-2.18140978869232,0.0291531202632478
